step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
83,1.53528,0.0103743,-0.00632637,0.335064,6351.89,0.243164,0.7068131566047668,0.0,0.7569772005081177,1,1.5303929346070164,0.0,0.0,-0.2026342749595642,-1.0,0.0,0.4696026521191472,
84,0.220025,-0.00193141,-0.00620716,0.335064,6351.9,0.248047,-1.0,0.31348586082458496,0.0,1,0.21933790055561114,0.0,0.0,-1.7068131566047668,-1.0,0.0,-1.2927060464258189,
85,0.42836,-0.00195572,-0.00626295,0.335064,6351.9,0.249512,1.0,1.0,0.0,1,0.4270102090531789,0.0,0.0,-2.0,-1.0,0.0,-1.1729897909468212,
86,1.32925,0.0662006,-0.00647848,0.335094,6351.91,0.254395,1.0,0.0,0.0,1,1.3249163756682396,0.0,0.0,-0.0,-1.0,0.0,0.3249163756682396,
87,1.30189,0.145515,-0.00704926,0.335217,6351.91,0.262207,1.0,0.0,0.0,1,1.297269010784398,0.0,0.0,-0.0,-1.0,0.0,0.29726901078439805,
88,1.43766,0.220657,-0.0079152,0.33542,6351.92,0.27002,-1.0,0.0,0.0,1,1.43192534144849,0.0,0.0,-2.0,-1.0,0.0,-0.16807465855150994,
89,1.2945,0.153937,-0.00865763,0.335623,6351.93,0.277344,1.0,0.0,0.0,1,1.288847904951306,0.0,0.0,-2.0,-1.0,0.0,-0.311152095048694,
90,1.43218,0.207272,-0.00941628,0.335817,6351.94,0.285156,1.0,0.0,0.39638471603393555,1,1.425373703096694,0.0,0.0,-0.0,-1.0,0.0,0.425373703096694,
91,0.420289,-0.00737509,-0.00973385,0.335908,6351.94,0.290039,-0.5436226725578308,0.0,0.0,1,0.4182236066804987,0.0,0.0,-1.5436226725578308,-1.0,0.0,-1.0448631950868505,
92,0.345861,0.0257818,-0.0097782,0.335908,6351.94,0.291992,-1.0,0.5661186575889587,0.6600894927978516,1,0.34415354362502687,0.0,0.0,-0.4563773274421692,-1.0,0.0,-0.7927596546076239,
93,0.0759785,0.0372167,-0.00977963,0.335939,6351.94,0.293457,-0.16510960459709167,0.0,0.0,1,0.07560335180601674,0.0,0.0,-0.8348903954029083,-1.0,0.0,-1.1748637668148558,
94,0.0464885,-0.00413717,-0.00947636,0.335939,6351.95,0.293945,-1.0,0.314342737197876,0.0,1,0.04626614506528285,0.0,0.0,-0.8348903954029083,-1.0,0.0,-1.2042009735555896,
95,0.518885,0.0101323,-0.00938576,0.335939,6351.95,0.294922,-0.2023274302482605,0.0,0.0,1,0.5164271159446067,0.0,0.0,-0.7976725697517395,-1.0,0.0,-0.7228746549809152,
96,0.342028,-0.0110563,-0.00930422,0.335939,6351.95,0.297363,-1.0,1.0,0.0,1,0.3404220667577582,0.0,0.0,-0.7976725697517395,-1.0,0.0,-0.8988797041677636,
97,1.34692,-0.0693231,-0.00908202,0.335929,6351.95,0.302734,-0.8192329406738281,0.0,0.04187369346618652,1,1.3407481582152594,0.0,0.0,-0.18076705932617188,-1.0,0.0,0.2865180404174079,
98,1.27752,-0.1648,-0.00834912,0.335827,6351.96,0.310059,0.28026318550109863,0.0,0.0,1,1.2721424517694548,0.0,0.0,-1.0994961261749268,-1.0,0.0,-0.05770638608302314,
99,1.34127,-0.120374,-0.00776928,0.335725,6351.97,0.317383,1.0,0.0,0.0,1,1.3360192208517452,0.0,0.0,-0.7197368144989014,-1.0,0.0,0.12009817650207477,
100,1.25572,-0.0540749,-0.00745171,0.335644,6351.98,0.324707,0.28842630982398987,0.0,0.0,1,1.2510065490210278,0.0,0.0,-0.7115736901760101,-1.0,0.0,0.03753444196822486,
101,1.3375,0.0118905,-0.00748175,0.335644,6351.98,0.332031,0.1793597936630249,0.0,0.0,1,1.3324591922011284,0.0,0.0,-0.10906651616096497,-1.0,0.0,0.2997392373528389,
102,1.25334,0.0286103,-0.00758856,0.335644,6351.99,0.339355,0.5674315690994263,0.0,0.0,1,1.2485484353491416,0.0,0.0,-0.38807177543640137,-1.0,0.0,0.13212690271822125,
103,1.33055,0.0741904,-0.00788897,0.335695,6352.0,0.346191,1.0,0.0,0.0,1,1.325260316183353,0.0,0.0,-0.43256843090057373,-1.0,0.0,0.19548978691318086,
104,1.23379,0.13944,-0.00842446,0.335796,6352.0,0.353516,1.0,0.0,0.0,1,1.2285492725005651,0.0,0.0,-0.0,-1.0,0.0,0.22854927250056511,
105,1.30973,0.177148,-0.00922697,0.335979,6352.01,0.360352,1.0,0.0,0.0,1,1.3036319131996459,0.0,0.0,-0.0,-1.0,0.0,0.3036319131996459,
106,1.22054,0.186684,-0.0100166,0.336183,6352.02,0.367676,-0.08859775215387344,0.0,0.35773640871047974,1,1.214366042470655,0.0,0.0,-1.0885977521538734,-1.0,0.0,-0.11221328317550694,
107,0.472566,0.0133479,-0.0101787,0.336254,6352.02,0.372559,0.9497438073158264,0.0,0.0,1,0.4701365076478532,0.0,0.0,-1.0383415594696999,-1.0,0.0,-0.8413659601930568,
