step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,r_checkpoint,reward_total,terminal_reason
93,28.1768,0.951099,-0.11047,0.401597,3601.99,3.54541,0.0,-0.27458322048187256,1.0,0.0,2,26.451863312602345,-0.056578591748,-0.48022742569446564,-0.0,-1.0,0.0,0.0,25.251216493146007,
94,28.7841,0.494454,-0.113384,0.405226,3602.15,3.70239,0.0,0.44977518916130066,1.0,0.0,2,26.970940928464863,-0.058320328532999996,-0.7243584096431732,-0.0,-1.0,0.0,0.0,25.69531307703891,
95,29.2931,0.366805,-0.113853,0.408579,3602.31,3.86255,0.0,0.00014904141426086426,1.0,0.0,2,27.439495629885837,-0.059842727524500004,-0.4496261477470398,-0.0,-1.0,0.0,0.0,26.244765058037224,
96,29.8949,0.257777,-0.115378,0.412047,3602.47,4.02588,0.0,0.016285136342048645,1.0,0.0,2,27.9753558666753,-0.0615905193015,-0.01613609492778778,-0.0,-1.0,0.0,0.0,26.908924518895464,
97,30.6169,0.151399,-0.115735,0.415797,3602.66,4.20947,0.0,1.0,1.0,0.0,2,28.644307506396608,-0.06365207584650001,-0.9837148636579514,-0.0,-1.0,0.0,0.0,27.285540971452726,
98,31.2526,0.466456,-0.117534,0.419385,3602.83,4.38013,0.0,-0.6451079845428467,1.0,0.0,2,29.204587035346638,-0.06553435825500001,-1.6451079845428467,-0.0,-1.0,0.0,0.0,27.645520281728782,
99,31.8853,0.530872,-0.121436,0.423405,3603.0,4.55396,0.0,-0.8469036817550659,1.0,0.0,2,29.719230407379648,-0.0675019772325,-0.20179569721221924,-0.0,-1.0,0.0,0.0,28.591189720983483,
100,32.4503,0.0165453,-0.12172,0.427278,3603.18,4.73145,0.0,-0.21383818984031677,1.0,0.0,2,30.240156545094244,-0.06932649641699999,-0.6330654919147491,-0.0,-1.0,0.0,0.0,28.980910401102822,
101,32.9221,-0.44025,-0.118727,0.430683,3603.36,4.91187,0.0,0.9542285203933716,1.0,0.0,2,30.740553007468936,-0.0708949439715,-1.1680667102336884,-0.0,-1.0,0.0,0.0,29.31923805042733,
102,33.5283,-0.250565,-0.116237,0.433912,3603.54,5.0957,0.0,-0.3843854069709778,1.0,0.0,2,31.357824304492304,-0.07274165854800001,-1.3386139273643494,-0.0,-1.0,0.0,0.0,29.883498467735,
103,34.1739,-0.272026,-0.115859,0.437385,3603.73,5.28271,0.0,0.4108395278453827,1.0,0.0,2,31.969542119755744,-0.07473575625750001,-0.7952249348163605,-0.0,-1.0,0.0,0.0,30.656238883053337,
104,34.7427,-0.17621,-0.114229,0.440775,3603.92,5.47339,0.0,-0.34767913818359375,1.0,0.0,2,32.53628094163593,-0.07656856796249999,-0.7585186660289764,-0.0,-1.0,0.0,0.0,31.232156773864737,
105,35.2509,-0.227238,-0.114024,0.444359,3604.11,5.66675,0.0,0.16870273649692535,1.0,0.0,2,33.01661912392758,-0.0783202733655,-0.5163818746805191,-0.0,-1.0,0.0,0.0,31.783384288157926,
106,35.8352,-0.149356,-0.112382,0.447831,3604.31,5.86304,0.0,-0.7092412710189819,1.0,0.0,2,33.59976407286291,-0.080240567256,-0.8779440075159073,-0.0,-1.0,0.0,0.0,32.25614030335214,
